Source.Name,Rk,Team,date,pts,away,opp,result,mp,fg,fga,fgpc,twop,twopa,twofgpc,threep,threepa,threefgpc,ft,fta,ftpc,season
NBA_by_game_1000.csv,903,ATL,3/31/2022,131,,CLE,W 131-107,240,45,91,0.495,28,52,0.538,17,39,0.436,24,28,0.857,2021-22
NBA_by_game_1000.csv,904,POR,3/28/2022,131,,OKC,L 131-134 (OT),265,51,112,0.455,31,62,0.5,20,50,0.4,9,13,0.692,2021-22
NBA_by_game_1000.csv,905,TOR,3/26/2022,131,,IND,W 131-91,240,51,84,0.607,36,52,0.692,15,32,0.469,14,19,0.737,2021-22
NBA_by_game_1000.csv,906,LAL,3/21/2022,131,away,CLE,W 131-120,240,53,94,0.564,41,62,0.661,12,32,0.375,13,16,0.813,2021-22
NBA_by_game_1000.csv,907,PHO,3/15/2022,131,away,NOP,W 131-115,240,49,90,0.544,31,56,0.554,18,34,0.529,15,15,1,2021-22
NBA_by_game_1000.csv,908,ATL,3/13/2022,131,,IND,W 131-128,240,46,84,0.548,29,46,0.63,17,38,0.447,22,24,0.917,2021-22
NBA_by_game_1000.csv,909,DEN,3/7/2022,131,,GSW,W 131-124,240,46,84,0.548,36,52,0.692,10,32,0.313,29,41,0.707,2021-22
NBA_by_game_1000.csv,910,NYK,3/7/2022,131,away,SAC,W 131-115,240,47,92,0.511,29,50,0.58,18,42,0.429,19,23,0.826,2021-22
NBA_by_game_1000.csv,911,SAC,2/28/2022,131,away,OKC,W 131-110,240,49,87,0.563,39,56,0.696,10,31,0.323,23,30,0.767,2021-22
NBA_by_game_1000.csv,912,PHO,2/10/2022,131,,MIL,W 131-107,240,51,90,0.567,42,60,0.7,9,30,0.3,20,29,0.69,2021-22
NBA_by_game_1000.csv,913,MIL,2/8/2022,131,away,LAL,W 131-116,240,52,96,0.542,37,60,0.617,15,36,0.417,12,20,0.6,2021-22
NBA_by_game_1000.csv,914,SAS,2/4/2022,131,,HOU,W 131-106,240,51,89,0.573,38,61,0.623,13,28,0.464,16,20,0.8,2021-22
NBA_by_game_1000.csv,915,SAS,1/28/2022,131,,CHI,W 131-122,240,50,95,0.526,34,58,0.586,16,37,0.432,15,18,0.833,2021-22
NBA_by_game_1000.csv,916,SAC,1/19/2022,131,,DET,L 131-133,240,44,84,0.524,32,57,0.561,12,27,0.444,31,44,0.705,2021-22
NBA_by_game_1000.csv,917,ATL,1/3/2022,131,away,POR,L 131-136,240,48,88,0.545,34,47,0.723,14,41,0.341,21,24,0.875,2021-22
NBA_by_game_1000.csv,918,CHI,12/29/2021,131,,ATL,W 131-117,240,52,84,0.619,42,62,0.677,10,22,0.455,17,22,0.773,2021-22
NBA_by_game_1000.csv,919,CHO,12/15/2021,131,away,SAS,W 131-115,240,51,86,0.593,33,52,0.635,18,34,0.529,11,16,0.688,2021-22
NBA_by_game_1000.csv,920,BRK,12/14/2021,131,,TOR,W 131-129 (OT),265,50,103,0.485,36,64,0.563,14,39,0.359,17,23,0.739,2021-22
NBA_by_game_1000.csv,921,IND,11/1/2021,131,,SAS,W 131-118,240,52,91,0.571,34,53,0.642,18,38,0.474,9,12,0.75,2021-22
NBA_by_game_1000.csv,922,WAS,5/6/2021,131,away,TOR,W 131-129 (OT),265,41,94,0.436,28,64,0.438,13,30,0.433,36,43,0.837,2020-21
NBA_by_game_1000.csv,923,IND,4/25/2021,131,away,ORL,W 131-112,240,50,91,0.549,35,59,0.593,15,32,0.469,16,18,0.889,2020-21
NBA_by_game_1000.csv,924,LAC,4/11/2021,131,,DET,W 131-124,240,50,80,0.625,35,53,0.66,15,27,0.556,16,21,0.762,2020-21
NBA_by_game_1000.csv,925,MEM,4/7/2021,131,away,ATL,W 131-113,240,48,89,0.539,31,49,0.633,17,40,0.425,18,21,0.857,2020-21
NBA_by_game_1000.csv,926,WAS,4/7/2021,131,away,ORL,W 131-116,240,49,85,0.576,30,49,0.612,19,36,0.528,14,16,0.875,2020-21
NBA_by_game_1000.csv,927,NYK,3/23/2021,131,,WAS,W 131-113,240,47,92,0.511,31,62,0.5,16,30,0.533,21,24,0.875,2020-21
NBA_by_game_1000.csv,928,DEN,3/19/2021,131,,CHI,W 131-127 (OT),265,48,91,0.527,34,57,0.596,14,34,0.412,21,27,0.778,2020-21
NBA_by_game_1000.csv,929,WAS,3/18/2021,131,,UTA,W 131-122,240,47,86,0.547,40,69,0.58,7,17,0.412,30,38,0.789,2020-21
NBA_by_game_1000.csv,930,GSW,3/14/2021,131,,UTA,W 131-119,240,50,89,0.562,34,58,0.586,16,31,0.516,15,18,0.833,2020-21
NBA_by_game_1000.csv,931,PHI,3/3/2021,131,,UTA,W 131-123 (OT),265,48,93,0.516,40,68,0.588,8,25,0.32,27,35,0.771,2020-21
NBA_by_game_1000.csv,932,WAS,2/15/2021,131,,HOU,W 131-119,240,48,92,0.522,36,62,0.581,12,30,0.4,23,31,0.742,2020-21
NBA_by_game_1000.csv,933,NOP,1/29/2021,131,,MIL,W 131-126,240,45,96,0.469,24,48,0.5,21,48,0.438,20,28,0.714,2020-21
NBA_by_game_1000.csv,934,UTA,1/8/2021,131,away,MIL,W 131-118,240,49,97,0.505,24,44,0.545,25,53,0.472,8,13,0.615,2020-21
NBA_by_game_1000.csv,935,SAS,12/23/2020,131,away,MEM,W 131-119,240,48,95,0.505,38,70,0.543,10,25,0.4,25,29,0.862,2020-21
NBA_by_game_1000.csv,936,DAL,8/11/2020,131,,POR,L 131-134,240,42,81,0.519,22,37,0.595,20,44,0.455,27,33,0.818,2020-21
NBA_by_game_1000.csv,937,ATL,3/11/2020,131,,NYK,L 131-136 (OT),265,48,106,0.453,34,65,0.523,14,41,0.341,21,26,0.808,2019-20
NBA_by_game_1000.csv,938,LAC,3/10/2020,131,away,GSW,W 131-107,240,46,92,0.5,26,48,0.542,20,44,0.455,19,19,1,2019-20
NBA_by_game_1000.csv,939,MIL,3/8/2020,131,away,PHO,L 131-140,240,51,95,0.537,38,62,0.613,13,33,0.394,16,21,0.762,2019-20
NBA_by_game_1000.csv,940,PHO,2/24/2020,131,away,UTA,W 131-111,240,49,87,0.563,37,67,0.552,12,20,0.6,21,24,0.875,2019-20
NBA_by_game_1000.csv,941,OKC,2/23/2020,131,,SAS,W 131-103,240,50,87,0.575,40,65,0.615,10,22,0.455,21,24,0.875,2019-20
